Overall Rating,Comments,Feedback Category
Very Disappointed,"I do not know whether it is the internet connectivity, but I was unsuccessful in placing my order online. Nothing seems to be loading when I click on it, and I have tried several times.",
Neutral,"I get very frustrated using the READS code. If there are no appropriate books, Scholastic should simply take $5.00 of the total order.  Also, there periodically should offer codes to parents ho routinely purchase from the Scholastic Book Club.",
Neutral,I wasn't done approving my class order or choosing my books before the survey popped up.,
Very Satisfied,Thank you!,
Very Satisfied,"This was super easy, fast, and efficient.",
Very Satisfied,"I would be more likely to recommend Scholastic if the shipping issues are no longer a problem this year.  I was a longtime supporter, until last year.  Now, I'm hoping for the best.",
Very Satisfied,I love how we could search for the classroom teacher. So easy! Thank you!!!,
Very Satisfied,THE SITE IS NICE,
Satisfied,when I hit submit it froze,
Satisfied,I want to change my class code for this school year.,
Very Satisfied,great books for kids,
Very Satisfied,"I am surprised to see tax being charged for the online orders.  Is that new this year?  Why aren't the cost of the books adjusted to absorb the tax?    Thank you,  Kathy Thomas",
Satisfied,Challenges distinguishing where to place student order vs. teacher order. I  figured it out though.,
Very Satisfied,The online prices used to be .50 cents less than what was printed in the flyer.  I noticed that is no longer the case.,
Satisfied,I picked about 4 or 5 different dollar books for having spent at least $75 and they were all unavailable.  What is the point of offering this if you don't have the books available?,
Very Satisfied,school code error and all other code errors,
Very Disappointed,"Last year my son never received his books. Cayden's teacher and I spent a lot of time trying to resolve the issue. I vowed never to purchase from you again. Since this year Cayden having a teacher that I think of highly, I have decided, for his sake, to give you another try. We will wait to see how this order goes.",
Satisfied,"It's hard to find the monthly rewards this year.  You have to click on a very small ""see all rewards"" tab to find it.",
Very Disappointed,The book our Daughter wants does not have the ADD TO CART button!!!  She is very upset and crying right now!!!  CANNOT FIND TEACHER listed.  Why?,
Very Satisfied,Easy to use and navigate.,
Very Disappointed,"I missed entering the promo code for $5.00 book value and can’t edit order. This was the entire reason I ordered $25 of books. I’ll be less likely to order at all in the future, because these books are available elsewhere.",
Neutral,This survey keeps populating even though I have yet to submit my order.,
Satisfied,Great website and everything this company does. I do wish there was a sort by price option. Its hard times these days.,
Satisfied,Not able to order a book due to lack of inventory,
Very Disappointed,We spent 20 minutes adding to our cart & then the cart expired. Nothing is in the cart & it won’t let me add any items. My son’s name is already connected to his teacher/school but the cart keeps asking me to assign his name to each book (it won’t let me do that either now). Super frustrating. I won’t order again.,
Very Satisfied,The website is easy to use. I'm just hoping my order is shipped and received in a timely manner this year. I only placed one order last year because it took over a month to receive my class/student's books.,
Neutral,Just setting up my account,
Very Satisfied,LOVE Scholastic.  :-),
Neutral,I have previously set up an e-wallet (as a teacher) but could find no information on how to share a link with parents interested in contributing funds.,
Satisfied,"I am disappointed that you have a very limited number of books under $2.00.  Th e book of the week ( The Mouse and the Motorcycle)  was much too difficult for my first grade students..  Please have several book of the week options for different age levels.  Also, I do not think it is fair to require teachers to have an order limit in order to access the book of the week.  Not all families are able to buy books at this time so teachers are often the only way some students are receiving books.  When you limit teachers' access to the book of the week, you limit the kids who really need to get books in their hands!",
Very Satisfied,"I would like additional paper fliers mailed to me at my school for parents who prefer to order books with this method. Thank you! (I teach Young 5's - 4 and 5 year olds.)  Jill Van Eck  Woodbridge Elementary School  9110 Woodbridge  Zeeland, MI. 49464",
Satisfied,book was out of stock.,
Very Satisfied,Website is easy to use,
Satisfied,Please send me flyers appropriate for 6th grade ELA and Social Studies. Florida.,
Satisfied,Would be nice to add a feature to search/sort by price,
Very Satisfied,"I love the ""item finder"" on the main page that allows me to just enter in the item number and it automatically adds it to my cart. Very easy to search and get more details on books.",
Neutral,"Navigation is rough.  Site could be more user friendly.  Pop up for survey is requesting answers to questions that I haven't been given a chance to complete yet.  Ex.  Were you able to complete your task?  (Browse/search for books.). Pop up happened for survey before I checked out.  So no, I was not able to complete this task yet because you are stopping me....not really well thought out there...",
Satisfied,I seem to have different Customer Numbers.  When I am online I see a 7 digit number.  On the back of my catalogues I see a 9 digit number.  I wasn't sure which one to put on my payment stub/envelope when sending in a student check.,
Neutral,I wanted an option to ship to home but could not find it,
Very Satisfied,none,
Very Satisfied,"Quicky, easy and affordable!",
Neutral,"It's hard to navigate the variety of search and browse options- flyers, filters, search box. Specifically I once found items that were requested for the class by the teacher but later could not get back to the list.",
Very Satisfied,Good site to order books for kids.,
Satisfied,I was kicked out of sight and had to go back.,
Satisfied,Love scholastics,
Disappointed,I cannot make an account or purchase books online because I can't find my kid's teacher and I also don't have a class code.  This makes it impossible to order.,
Very Satisfied,"The website is definitely better and easier to use.  I like using the online features.  I didn't do any book orders last year because 2020 was so bad, but I am back on board.",
Neutral,You all have to up your diversity game. Your prices have also gone up (I know that's the economy and out of your hands) to the point that I can't afford to restock my library.,
Very Disappointed,NOT LETTING ME ENTER STUDENT ORDERS,
Satisfied,Multiple fliers unable to load,
Satisfied,"When I log in, I'm immediately taken to the parent side of ordering.  The website timed out while I was verifying my total. I had to log back in.  The student order coupons are smaller. Would it be possible to make the order numbers larger and bolder. The numbers are hard to read.",
Very Satisfied,I had to google how to find my kid's teacher... was guided to book clubs.,
Neutral,Hard to search. Unusual organization of site.,
Disappointed,Don't know how to use the site. Just ended up going to the library.,
Very Satisfied,"The search results for the free book on the checkout screen was not yielding any results, even though one of the books I was searching for was listed. I was forced to utilize the pagination and A-Z sort to find the book instead.",
Satisfied,"I miss not being able to request a different catalog without having to call to request. You have the option listed, but it’s useless since you can’t order them online.",
Very Disappointed,I really am having a difficult time navigating your site. Where are the prices? What is the A.R. level? Ridiculous!,
Neutral,When I was trying to add Teacher wishlist books it kept changing the quantity to my order,
Neutral,"It said that I got $10 in free books, so I ordered two books for a total of $9, but it didn't given them to me free....it's very confusing...so I didn't get $10 of free books, instead, I paid $10 more.",
Satisfied,"It showed my teacher order cost was $16.34, so I chose my credit card for payment and it charged me $52.34. One of my students sent in a check for $36 which I'm going to mail in-but it also charged me for his book order.  I will call Monday about getting a refund.",
Very Satisfied,Very easy to access and use the site.,
Satisfied,I would like to be able to print 2 copies of the letter to parents on one page in order to save paper.,
Neutral,"Coupon code READS says that it is expired when ordering from my parent page (I am a teacher who uses scholastic, but am ordering for my son as a parent order), but it currently shows the coupon code right on top of the page saying that it is still valid for the free $5 book. Any reason why it isn’t working for me or is a way to fix this? Thank you!",
Neutral,Love it!,
Disappointed,Can't open the flyers to view,
Neutral,I was unable to enter my edited information for the site.  I have changed positions and it did not allow me to enter grade level and number of students.,
Satisfied,"One thing I struggle with is lists.  I often add items to my cart and they disappear when no longer available.  I would love an option to be able to place saved titles in an area.  Sometimes, they are for a particular student.  Sometimes, I want to ensure completing a collection.  Either way, being able to store 1 to 10 lists and titles would be amazing (and if they are no longer available, I would prefer that to be bold and noted alongside the book, but not removed)!",
Very Satisfied,I'm a second grade teacher and love the ease of the website!,
Very Disappointed,I cannot place my order!!!!  $118 of books that it will not let me order.  The teacher code has been given to someone else!  DISASTER!!!!!!!!!!!!!!!!!!!,
Very Satisfied,Scholastic is a great company!,
Very Satisfied,Why don't you offer the actual flyer anymore?,
Very Satisfied,I think I confirmed the student order but am not sure.,
Neutral,Bumemd that one of the series we wanted was sold out,
Satisfied,"Last year extreme delay in shipping orders (supply chain issues, Backlogs and whatever) from September made us unwilling to submit additional orders throughout the year.  This was very disappointing.  We'd like to try again this year. We are hopeful we won't have the same issues.",
Satisfied,It would be awesome to buy books to keep at home.,
Satisfied,"It took me a little while to figure out how to search by reading level. If that were more obvious, shopping on this site would be less frustrating . I also which there were more options for lower grade levels from the classics, like Usborne's illustrated stories (Shakespeare, Dickens, Greek Myths, etc.)",
Very Satisfied,much easier than filling out a form,
Very Satisfied,This was my first time switching between ordering as a parent and teacher and it was super easy! Thank you!!,
Neutral,Still waiting for a refund from an order I returned in April.  I only received half of the refund I am owed.,
Satisfied,"Is there a way to send an email, that parents submitted online orders?",
Satisfied,The new way you have the system set up does not allow to easily click books for points. It is frustrating.,
Very Satisfied,send early childhood catalogs,
Very Disappointed,"I am a teacher and want to buy for my classroom!  I've purchased as a parent before, now I am a teacher.",
Satisfied,Glad have the $1 store for teachers.  Wish the kiddos could have a few more $2 choices during the month.,
Very Satisfied,Very easy to navigate your site!,
Very Satisfied,n/a,
Satisfied,none,
Satisfied,I wish you had more selection and could search on Lexile range.,
Very Satisfied,My experience with Scholastic has always been amazing!!  I am a huge reading advocate and want my little ones to appreciate and love reading as well!,
Very Satisfied,A wonderful program to interest young people to learn to love reading!!!!,
Satisfied,"The site only kind of works on mobile... I was visting the site on my iphone 13 using Safari and could search and add books to my cart, but when I went to use the READS promo code and select a free $5 book, I couldn't confirm and submit my selection, the page froze. So I had to complete my order on my laptop (which worked fine)",
Very Satisfied,Not ready to announce the book order to my class.,
Very Satisfied,I enjoy having this for my families and being able to purchase things for my classroom as well.,
Neutral,On the list of free book options it is difficult to read the longer titles.  It is cut off.  Otherwise everything is very user friendly.,
Very Satisfied,I love Scholastic book Clubs!  Great books at reasonable prices!,
Satisfied,hard to access where i can use my points and dollar rewards,
Very Satisfied,i love white fox,
Very Satisfied,So helpful and easy for everyone to use,
Very Satisfied,"I love how user friendly this site has become over the years.  The simple step of adding the names to the individual orders makes distribution so much easier.  My only suggestion would be to add some $1.00 books for options when we have ""money to spend"" so we can help build classroom sets for our students without bearing the cost burden ourselves.  Otherwise, thanks so much!",
Satisfied,Difficult to find where to enter the teacher/class code.,
Very Satisfied,easy to order and navigate the site,
Neutral,"It would be helpful to see if my child's teacher had a wishlist or any books that she wanted for the classroom. Even if her teacher didn't have one and there were 0 items at least as a parent I would be able to see if there was one and could ""donate"" to the classroom in that way.",
Satisfied,"I have been a Scholastic teacher/customer for 26 years. I understand that things are more expensive now however the cost of items and lack of teacher deals is very discouraging. The amount of bonus points charged for books is ridiculous. I have 36 students in my class and like to get at least 6 books per year for them. I cannot afford this out of pocket expense. I hope that Scholastic takes this into consideration as I know many of my colleagues feel as I do and cannot afford to continue purchasing books. Also, I work in a poverty coded school and most of our parents cannot purchase books unless they are extremely discounted. I love Scholastic and am trying to continue our relationship however am more  discouraged each year based on lack of teacher deals and bonus point increases.",
Very Satisfied,I love using the site to get books ..,
Very Satisfied,Please keep monthly flyers coming to my school. People still prefer to look at a paper flyer.,
Very Satisfied,You wanted me to take the survey AFTER I finished placing my order but it popped up right away.  I had barely started the order.  Most of your questions relate to me having PLACED the order when I hadn't had the chance to do so yet.,
Disappointed,"I am extremely disappointed that as a teacher I was NOT allowed to use my bonus points to purchase books from the dollar section. I have always ordered one book per child for my classroom. Your book prices have gone up and teachers can no longer afford to purchase with bonus points books for her classroom. I submitted a huge order, but I will definitely rethink if I will submit next month, sorry!",
Satisfied,It is disappointing that we can only shop from the dollar book inventory with a class order of $75 or more.,
Very Satisfied,It was very easy.  I could see the flier and make my selections very easily.,
Disappointed,Hard site to navigate.  If I didn’t know the name of the book I was looking for I wouldn’t have the patience to find it.  The search option was useful.,
Satisfied,I sent an email to request flyers. It would be nice to have an online option  to request flyers.,
Satisfied,"I really appreciate the Teacher Bonus Catalog and use my reward points to purchase items for our classroom.  However, I would like you to offer more puzzles for pre-k students.   Years ago I purchased  a ""No, David!"" puzzle through Scholastic.  I read the book ""No, David!"" by David Shannon to my class and then my students love putting this 28 piece puzzle together.  The puzzles do not necessarily have to be book related, but just sturdy and good quality.  I also miss selecting from Melissa & Doug products.",
Neutral,I wasn't able to find any books with Christian morals and or values.,
Neutral,it is very easy to use when you can enter the item # from the flyer.,
Neutral,Thanks for the books!,
Very Satisfied,Easy to find books!!,
Neutral,it's a little cumbersome.,
Very Satisfied,Very Easy to create an account and check out!,
Very Satisfied,"I have been using Scholastic Books for 21 years, and have always been completely satisfied.",
Very Satisfied,"I want my kids to read wholesome books without witchcraft, magic nd sorcery.  Bring back the classics like Misty of Chincoteague, Homer Price, Pippi Longstocking, McBroom Tells the Truth, McBroom's Wonderful One Acre Farm etc.",
Neutral,Search engine is not that user friendly.,
Satisfied,Great book catalog and promotions,
Very Satisfied,"Excellent website and easy to navigate thru. Pricing and deals are amazing , I love shopping with Scholastic, been a loyal fan and customer ever since I was a child myself.",
Neutral,Site is easy to use.  Thank You.,
Very Satisfied,Easy squeezy!,
Very Satisfied,Smooth as always,
Neutral,We already have many of the books on your site and the others just don't interest me.,
Neutral,The entire process was very easy.,
Neutral,"Many pop ups confused me, and the most common reason to come to the website is to place an order which was just plain hard to find quickly.",
Satisfied,"Selection is good, ordering is a little confusing having two different sites with scholastic.com and the bookclub site.  I couldn't find the books from the school flyer at first. The chat feature is very nice. Thanks",
Disappointed,I was not able to select the free book that I was eligible for due to glitches on your website. I attempted multiple times but the webpage froze.,
Very Satisfied,STILL WAITING FOR MORE STUDENTS TO TURN IN ORDERS BY 9-16,
Very Satisfied,Love It!,
Neutral,"One of my books, from the Magic Tree House pack I got last May, had pages fall out right when I opened it. Very poor quality.",
Very Satisfied,I always enjoy seeing new books on the site and I like being able to browse books by grade and reding level. I love the books sets!,
Very Satisfied,I would still like to get a paper copy of the book form occasionally.  Is that possible .  I couldn't figure out how to order them.,
Very Satisfied,You are wonderful! I love your books.,
Very Satisfied,It was very easy today,
Satisfied,I wish there were $1 books still  so I could buy a set for my class at a reasonable price.,
Very Satisfied,So easy and my students are excited to get their books!,
Satisfied,I teach very young 2's I'm looking for books for their age.,
Very Satisfied,Wonderful and easy.,
Very Satisfied,Wanted to browse the site but will be back to purchase books in the near future.  Thank you for helping teachers out with the book club option.,
Neutral,I wanted to use my own information to order my granddaughter’s books. I wanted to create an account for myself. It would not let me. It only would let my daughter get into her account. Which is aggravating to say the least. I experience a lot of frustration with your website every year.,
Satisfied,I was trying to find something for 2.00 to spend the rest of my 10.00 on - no luck!,
Satisfied,Well laid out,
Very Disappointed,"Every single time I order books form Scholastics for my son's classroom, the coupon reads does not work!  This is extremely frustrating. I chatted  with 2 representatives and there were clueless and couldn't figure out the problem.     This is simply not acceptable.",
Very Satisfied,N/A,
Neutral,"I wasn't able to easily put in the exact reading levels of books that I wanted to search for, it kept taking me to a much broader range than I wanted initially. I'm not able to share my book list with family members, and I have multiple people that would like to place orders. Will eventually place an order, just need to manually deconflict with family on which books everyone wil purchase so we don't duplicate.",
Satisfied,hard to get back to my same spot after adding a book to cart,
Neutral,"The site doesn't preview the flyers well. The actual place to view the flyers is great, but the page to preview them doesn't show enough information to be useful in identifying which flyer is best.",
Very Satisfied,It is fun,
Neutral,"There are books in the 3rd grade flyer that say they have ""mature content""--they should not be in the flyer at all. Particularly, one called ""The Language of Seabirds"" that pictures two teen boys on the cover. The topic of romance in any form is inappropriate content for third graders...let alone same-sex romance material. It's disappointing to see this kind of content being pushed on young children.",
Very Satisfied,Good choices and easy to navigate the site. Prices are good as well.,
Neutral,It was very easy and quick.,
Very Satisfied,Waiting to let my other kids pick out some books to add to the cart,
Very Satisfied,Well done.,
Satisfied,Last year the service and shipping were terrible.  I submitted only one order because of the delays.  I am optimistic that your ordering system is in order now.,
Very Satisfied,i had no problems during my visit to this site.,
Very Disappointed,I tried but it kept asking for my password  why can’t I just put in the teachers activation code  Old people like me aren’t good at navigating obscure stes,
Neutral,"There is another scholastic site that is confusing and I end up there filling a cart and find out it is not this area and get frustrated. also, when a student gives me a check for a book order and it is under $25 I want to submit it , but I won't from now on because you charge me a shipping fee even if I have an online order. I am about done trying to figure your site out. I don't like to tell students no, but I am not paying shipping because there is not a big enough order.",
Very Satisfied,Love being able to search the actual flyers. So easy and convenient,
Satisfied,"Hoping that Scholastic has a better response time for orders this year.  Last year, I quit ordering because it was embarrassingly long until delivery once orders were submitted. I'm willing to try one more time before I tell parents to just buy books from Amazon.",
Very Satisfied,Easy to use,
Very Satisfied,I love Scholastic!,
Satisfied,"It  usually takes some time for me to navigate this site to get all of what I need i.e. bonus, my order, use money in my account.",
Disappointed,"This is the second day that I've tried downloading and printing the parent letter but it opens up a page that says HTTP Status 400.  My son's teacher sent home the letter, so I'm not sure why it isn't working for me.",
Very Satisfied,I was adding in my updated information as I changed states and districts... Thank you. Phelps,
Very Satisfied,so excited to receive these books,
Very Satisfied,easy to navigate,
Satisfied,The verify you are not a robot button didn't work. Had to log out and relog back in and then it didn't ask me to do that.,
Very Satisfied,"I've bought books from here since I was a child, and I'm very happy to be able to share the joys of reading with my children as well.",
Satisfied,Can't connect my daughter to her teacher,
Very Satisfied,"The site so far is very easy to navigate, makes it easy for quick orders.",
Very Satisfied,We love Scholastic books and book fairs and look forward to our PK daughter to bring home her books!,
Very Satisfied,I hope that I did this correctly.,
Neutral,Out-of-stock books on the  9th day of the month. Disappointed student!!!,
Satisfied,Sign in was slow - but could have been my mobile device.,
Satisfied,Very nice site. Let's add the Warrior cats series!!!,
Neutral,super easy to use the site,
Very Satisfied,easy to order. love the site,
Neutral,I tried to place the order on my cell phone but it said the site wasn't responding.,
Very Satisfied,"AS usual, scholastic is easy to navigate and work with.",
Neutral,"My daughter is entered twice, so what should have been one order ended up being recorded a two.",
Very Satisfied,It would be nice if we had the option to change the signature on emails sent out. I go by Miss Amy instead of Mrs. Nogar and don't see a way to change it.,
Neutral,"I don't feel that your selection meets my needs as it once did. There are no inspirational books and that makes me feel unheard, unseen, and ignored.",
Neutral,I would love to see a teacher wishlist on the site after we are connected to our child's classroom.   We could purchase books for the classroom with our monthly orders and it would make it an easy way to show some support for our teachers.,
Very Satisfied,Last year we barely ordered due to shipping delays. I hope this year everything is back to normal with ordering and shipments.,
Very Satisfied,Like how you have it arranged and is easy to navigate.,
Disappointed,"Not able to order for any of my grandkids at their school today, none of their 3 teachers r on their school website. I don't have their paper in front of me. So not sure how to do it. Kind of frustrating . It asks for emails of teachers, I don't have those either. So as a grandparent, how r we supposed to that when our grandchildren say , hey can u buy us books!!!",
Neutral,I don't like having to sign in so often the site doesn't remember my login over the school year.  Book selection also need more traditional classics from US and the rest of the world.,
Very Satisfied,Always great to work with,
Satisfied,n/a,
Disappointed,"First it site won't recognize my email, so I lost all my points from last year (even though I have the same email for the past 17 years and I used the orders last year). It is difficult to navigate around and find the things you need to find. Also,  I have set  a due date, yet site states I need to set a due date. Frustrating that it is not updating/remember things.",
Satisfied,"When using the $5 code, would be great to just see a list of books that are available vs having the search.",
Disappointed,I wasn't able to access the tab of Introduce a Teacher,
Very Satisfied,I enjoy looking for books for my child on this site.  It's very easy!,
Satisfied,"While looking at flyers online, I had difficulty accessing the arrow in order to flip to the next page. Sometimes it was accessible to me, and other times it wasn't",
Neutral,my gift cards would not work with the packs or books that i am ordering,
Very Satisfied,Everything went fine.,
Very Satisfied,Waiting for day's end to submit.,
Neutral,"In general, I feel its hard to get a full list of available books. I keep clicking around and seeing the same 10 books. I want to see more than that -- I know there is more available. If my daughter wasn't so excited to get books and this didn't support her teacher, I would just purchase from Target or Amazon.",
Satisfied,"When I first logged on, I did not automatically go to the bookclub and had some difficulty beginning the search for my child's books.  Once, I entered /bookclub directly in the web address bar, it made searching for the books easy.",
Neutral,"It's very hard to search.  I can never get search results that match what I am looking for. The flyers and the website are not organized well at all. The flyers are still the same as they were when I was in elementary school 35 years ago. The website is difficult to search considering it is 2022.  It should be much easier to search for what I am looking for. I wanted to find easy reader/I Can Read books for level 1. Not a set, individual books. I couldn't find them.",
Very Satisfied,I love scholastic. I miss the big books.  My mother use to go to book fairs and buy from the door-to-door salesman.,
Satisfied,"no issues, easy search feature, lots of options, definitely will visit again for my 7 year old...",
Disappointed,"I have been having difficulties tracking down a watch that I ordered with bonus points.  I received the 2 other items from the outside vendor by August 16th but still waiting on the watch.  I was only staying in a temporary home for just over a month but have now moved to my new home in Florida.  My husband has stayed behind for almost 2 weeks waiting for the watch to arrive but he needs to drive down to Florida today.  I have called 3 different times, the first time was to see if it hadn't been shipped if I could change the address to Florida home, the 2nd time was to see if they had responded on address change (they hadn't) she sent another email and said they would contact me (they haven't) today she sent for a tracking number since it's been over 4 weeks now.  I am waiting to hear back once more, hopefully this time I will hear from someone finally.",
Neutral,"I had not used Scholastic Book Clubs in the past few years due to the delay in receiving books and price increases as a result of the Covid pandemic.  I would like to try ordering again with this year's class.  I have not received any paper copies and would like to send those home, but cannot find out how to get those sent to me.",
Satisfied,"A suggestion for the website layout, is to add quick add instead of actually clicking on the book.  Just takes a little longer.  )",
Very Satisfied,I love ordering from Scholastic news you make it easy.,
Very Disappointed,"It is sad that we have to spend a certain amount to get access to the $1 books. As a teacher, we would be able to spend so much more money on books if we had access to the $1 books. I have parents/friends that want to support my classroom and it went from $20 a month to $40 a month if we can even find a decent book for $2. This makes me sad, because for what it would cost me for a whole year, now I can only hope I can get 6 months worth. But if I only find a $3 book @ 21 students, that allows me 2 months worth of books. It makes me not want to use your site to purchase books anymore.",
Very Satisfied,"Not really a difficulty but I added the book I'd be using for my ""free"" book when I used the code READS. But after using the code, you can't select a book already in your cart and you have to enter a the book again and then go back and delete the one you already had in there. Again, not a big deal but it would be nice if when you enter a code, it let you apply it to something already in your cart.",
Very Disappointed,"Please withdraw me from your mailing list,  email,  and do not send any more flyers to me.  I have used Scholastic for many years and have recently noticed the change from good book offerings to children to too many political, and WOKE offerings. I  am not interested in supporting Scholastic any longer.   C  Tabor  Kindergarten   Madison Elementary  1436 W 300 N  Warsaw, IN  4582-6335",
Neutral,"While you all really have the classroom book club process down and are very friendly for teachers, I'm still not pleased with the ratio of high-quality and classic literature to more solely fun and silly books that are written as more of a cartoon dialogue.  The prevalence of teachers using Scholastic at my new school and the slightly more balanced selections on the most recent flyers has prompted me to come cook at reviving my account, though.  We'll see!  I'm not just a straight-laced teacher who doesn't want kids to have fun.  I want to keep them open to the historical body of literature and to help them develop their language skills.  The students I teach are not hard to pair with books.  They love them!",
Very Satisfied,It was great and so easy to add my kids.,
Satisfied,"I got an email about a Goosebump author visit contest and wanted to sign up. Once I sign into Scholastic, I can't find where to sign up for the contest. Please advice. My class would love to win this!",
Very Satisfied,"Could not find my childs teacher, but used a different teacher",
Very Satisfied,I tried to enter the R.L.Stine contest and it says that I do not have permission from you to do so....  Please let me know when it is fixed.,
Neutral,Everything went very well!,
Satisfied,I set up my teacher account,
Very Satisfied,This site was really easy to use,
Satisfied,none,
Very Satisfied,I made this payment and it still shows I owe.,
Satisfied,"I didn't understand the difference between ordering on the site and ordering through the book club, but I figured it out.",
Very Satisfied,"Placing a book order was very easy.  The website is very easy to look through, prices were well priced.",
Satisfied,"The selection was a little underwhelming. Im shopping for 5 years old and under. Looking for educational or with good stories. At a glance, many of the books did not appeal to what im looking for for my kids. The illustrations were too abstract and the characters seemed kinda obscure. I saw Berenstain Bears and may return to buy some of those. But overall i thought the selections seemed weak.",
Satisfied,There were many books we were looking to our collection that are not on site.  Would like to see more Rick Riordan choices.   Would rather shop under school account than go to a book store or order on amazon.,
Satisfied,"Some of the search features didnt seem to work quite as hoped, but I was able to nagivate around and find the books I was looking for.",
Very Satisfied,Really enjoy the fact that I can do orders for the classroom,
Neutral,"hard to find books, all together in one place.",
Satisfied,Had to reset my password but it was easily done. Have not placed any orders in a long time due to Covid.,
Neutral,"Unfortunately, I need to be able order books to be shipped directly to our home as our last order got sent home on a day our daughter went to her biological mothers home. We never saw the books and they were immediately posted for re-sale on social media. Was hoping to be able to support the school and her classroom by placing an order and having it shipped directly to my home. I was advised at this time, that feature is not offered. I love scholastic program, the reading levels are very clear for shopping and books are always age appropriate. Would still recommend for civil families. In the meantime, I just have to continue to shop elsewhere.",
Neutral,"Should be easier or have a prompt to connect to classroom teacher,  and assigning books to child.",
Neutral,bummer there is a minimum for no shipping.,
Neutral,the website teacher gave us (scholastic.com/readingclub) did not work.,
Very Satisfied,"At first, when I logged in, I couldn't quite find the place where I needed to select  his teacher for this year.  After a little searching around, I found it.",
Very Satisfied,Well done!,
Satisfied,It would be nice when entering the item number to preview it is what I am looking for before adding to the cart.,
Neutral,I can’t checkout at all.,
Very Satisfied,"Very well organized, easy to navigate--I appreciate being able to look through the paper catalog with my daughter to select items. Then I can just enter the number on the site--very convenient.",
Neutral,"There used to be some great options for letters to parents that you could edit and print off. You used to be able to change the header to those letters as well. I like having a paper copy of the first letter sent home. The option you have now does not offer any good wording to encourage parents to look through the flyers or even the website to find great literature for their children. Fortunately I have saved copies from previous years, but what about new teachers that don't have that? I find that very disappointing. I think you should be offering a monthly parent letter that could be attached to the book orders each month to encourage the parents to take a look at the month's offerings along with why they should order from your company.",
Satisfied,"I haven't submitted my order because the due date is tomorrow, other than that everything was  fine!",
Satisfied,"After placing a book in the cart and I choose continue shopping, it doesn't take me back to where I was browsing before.",
Neutral,"It was not clear what the codes for reading levels mean, and it was not easy to find a glossary. Once I found a glossary, I still wasn't entirely sure I understood what they meant? There were A LOT of different types of codes.",
Neutral,I wish it was more easily accessible to find books by reading level and not grade level. I eventually figured it out but there wasn’t an immediate section on the website.,
Very Satisfied,Website is easy to navigate!,
Very Satisfied,"Hoping to find that you're bringing back the warehouse sales to Clinton, MA!!",
Very Satisfied,Great site,
Satisfied,No issues today.,
Very Satisfied,I use to be able to ship to my house now I do not have that option which limits me ordering books for the holidays  I would like to support the classroom but do not want them to see them early   I would love to still be able to ship them to the house,
Neutral,Trouble searching in the 5 dollar book bin and trouble adding my child's teacher until I figured out the right city to search for.,
Satisfied,I miss the books for $1.,
Neutral,"This user interface is very easy to use when you have the flyer in hand. I like that you still send the paper flyer home with my child. It reminds me of ordering from Scholastic when I was a child but without having to write a check or send cash... literally, a perfect process. Thank you!",
Very Disappointed,Messed up book order and very long wait time to correct it.,
Satisfied,"I went to the wrong site, added a bunch of books to the cart before I realized I could not find a way to add the code from my child's class.  (https://shop.scholastic.com) I spent a long time looking for ""Find your Child's Teacher"" before I decided to check the site address on the class handout. Please add a link in the footer/header that would take parents to the right site. If I hadn't figured it out, I would not have made the order.",
Very Satisfied,I entered another teacher's email into the place where you recommend a teacher.  Then the teacher signed up.  I was checking to see if I received my 250 bonus points.  I couldn't find any added bonus points on my account for getting a new teacher to sign up.,
Neutral,"I called several weeks ago to request catalogs so they would be in my room ready for back to school night, I have not received them. Other teachers in my building have. I am new which is why I called to make sure they were there. I really hope they will be expidiated.",
Very Disappointed,This site is very difficult to use. All I want to do is order a book using bonus points . I want this book early October,
Very Satisfied,Hoping shipping is better than last year!!!,
Satisfied,I wish AR levels were displayed without having to search or click on the book title.,
Satisfied,I wish I could filter by price!,
Very Satisfied,Everything went smoothly.,
Satisfied,It is hard to get my parents to order books.  I did one order last year and then no one ordered again! I'm hoping to get the kids and parents excited to order books!  We  do have an awesome book fair every year with Scholastic.,
Very Satisfied,Great site! Super easy to use and can donate also! Thumbs up!!,
Neutral,none,
Satisfied,"I like the simplicity of finding items and I like that delivery to the school is free.  There used to be a discount by placing an order online.  That is gone and it made me a little sad.  Gratefully, we got a free $5 book for spending $25.",
Satisfied,"Worrying about how long orders will take this year.  Submitted one, shipped in 4 days (YAY!).  Submitted a second, still pending 6 days later.  That' not terrible, but I'm afraid of what happened in the past couple of years - orders taking weeks/months to arrive (we just quit ordering).  Fingers crossed!",
Satisfied,"As long as there isnt a huge delay in the shipping time like last year, I will be a happy customer.",
Very Satisfied,I always enjoy shopping for books but I'm not the parent--I'm one of the grandparents.,
Very Satisfied,Love to encourage my kids to read and you have a good selection of books.,
Very Satisfied,The site wants me to have the books delivered to the elementary school. I need to confer with the librarian on getting the books without my daughters seeing them as I would like to give them as gifts.,
Satisfied,I will be purchasing but just visited for the first time today.,
Neutral,Would be nice on the home page to go straight to order through my school tab,
Satisfied,"One thing I will mention is that in looking up information for both this and the book fair sales, it would be really nice to actually talk to someone.  For instance, I've heard things that make me hesitant to host a book fair.   I'd love to talk to someone, but I've not been able to figure out how.",
Satisfied,"I find the selection limited.  I ordered the first Harry Potter book, but there is not a second, to order later on, unless I get it in a box set.",
Very Satisfied,Love that we are able to add the student's name now!,
